Date,Emotion,Background Color,Verse (EN)
2024-09-13,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-09-14,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-09-15,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-09-16,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-09-17,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-09-18,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-09-19,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-09-20,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-09-21,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-09-22,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-09-23,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-09-24,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-09-25,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-09-26,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-09-27,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-09-28,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-09-29,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-09-30,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-10-01,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-10-02,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-10-03,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-10-04,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-10-05,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-10-06,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-10-07,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-10-08,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-10-09,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-10-10,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-10-11,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-10-12,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-10-13,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-10-14,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-10-15,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-10-16,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-10-17,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-10-18,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-10-19,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-10-20,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-10-21,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-10-22,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-10-23,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-10-24,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-10-25,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-10-26,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-10-27,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-10-28,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-10-29,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-10-30,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-10-31,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-11-01,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-11-02,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-11-03,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-11-04,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-11-05,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-11-06,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-11-07,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-11-08,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-11-09,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-11-10,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-11-11,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-11-12,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-11-13,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-11-14,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-11-15,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-11-16,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-11-17,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-11-18,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-11-19,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-11-20,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-11-21,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-11-22,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-11-23,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-11-24,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-11-25,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-11-26,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-11-27,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-11-28,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-11-29,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-11-30,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-12-01,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-12-02,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-12-03,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-12-04,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-12-05,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-12-06,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-12-07,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-12-08,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-12-09,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-12-10,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-12-11,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-12-12,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-12-13,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-12-14,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-12-15,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-12-16,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-12-17,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-12-18,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-12-19,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-12-20,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-12-21,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-12-22,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-12-23,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-12-24,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-12-25,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-12-26,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-12-27,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-12-28,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-12-29,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-12-30,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-12-31,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
